,loss,accuracy,val_loss,val_accuracy
91,-8.159342748818735e+18,0.9894850850105286,-8.745833795946545e+18,0.9903476238250732
92,-8.790252966197068e+18,0.9894440174102783,-9.419750311133708e+18,0.9902927875518799
93,-9.461382219407819e+18,0.9894144535064697,-1.012154329437569e+19,0.9902517199516296
94,-1.0174273673020572e+19,0.9893764853477478,-1.0860338142427218e+19,0.9901653528213501
95,-1.0931809696767541e+19,0.9893453121185303,-1.165947528812272e+19,0.990094780921936
96,-1.1735519711322964e+19,0.989297091960907,-1.2464256227003597e+19,0.9900169372558594
97,-1.2587904006128402e+19,0.9892616868019104,-1.3369821700221305e+19,0.9899751543998718
98,-1.3491040658160353e+19,0.9892279505729675,-1.4250097306488537e+19,0.9898706078529358
99,-1.4447641063092912e+19,0.9891815185546875,-1.533014318040639e+19,0.9898345470428467
100,-1.5460706887669907e+19,0.9891409873962402,-1.6372431825026417e+19,0.9897934198379517
101,-1.6532041330960892e+19,0.9891123175621033,-1.742199923662232e+19,0.9897039532661438
102,-1.7663934675686523e+19,0.9890757203102112,-1.8583809193228108e+19,0.9896734356880188
103,-1.885929403059064e+19,0.9890271425247192,-1.9885235136328892e+19,0.9896937012672424
104,-2.0120891264486867e+19,0.9889816641807556,-2.1140070373714297e+19,0.9896212220191956
105,-2.145338061009558e+19,0.9889370203018188,-2.2551333130383393e+19,0.9896001219749451
106,-2.285646959732379e+19,0.9889030456542969,-2.3964940045842907e+19,0.9894988536834717
107,-2.433823303956588e+19,0.9888617396354675,-2.5489914295056597e+19,0.9894596338272095
108,,0.9935830235481262,,1.0
109,,1.0,,1.0
110,,1.0,,1.0
111,,1.0,,1.0
112,,1.0,,1.0
113,,1.0,,1.0
114,,1.0,,1.0
115,,1.0,,1.0
116,,1.0,,1.0
117,,1.0,,1.0
118,,1.0,,1.0
119,,1.0,,1.0
120,,1.0,,1.0
121,,1.0,,1.0
122,,1.0,,1.0
123,,1.0,,1.0
124,,1.0,,1.0
125,,1.0,,1.0
126,,1.0,,1.0
127,,1.0,,1.0
128,,1.0,,1.0
129,,1.0,,1.0
130,,1.0,,1.0
131,,1.0,,1.0
132,,1.0,,1.0
133,,1.0,,1.0
134,,1.0,,1.0
135,,1.0,,1.0
136,,1.0,,1.0
137,,1.0,,1.0
138,,1.0,,1.0
139,,1.0,,1.0
140,,1.0,,1.0
141,,1.0,,1.0
142,,1.0,,1.0
143,,1.0,,1.0
144,,1.0,,1.0
145,,1.0,,1.0
146,,1.0,,1.0
147,,1.0,,1.0
148,,1.0,,1.0
149,,1.0,,1.0
150,,1.0,,1.0
151,,1.0,,1.0
152,,1.0,,1.0
153,,1.0,,1.0
154,,1.0,,1.0
155,,1.0,,1.0
156,,1.0,,1.0
157,,1.0,,1.0
158,,1.0,,1.0
159,,1.0,,1.0
160,,1.0,,1.0
161,,1.0,,1.0
162,,1.0,,1.0
163,,1.0,,1.0
164,,1.0,,1.0
165,,1.0,,1.0
166,,1.0,,1.0
167,,1.0,,1.0
168,,1.0,,1.0
169,,1.0,,1.0
170,,1.0,,1.0
171,,1.0,,1.0
172,,1.0,,1.0
173,,1.0,,1.0
174,,1.0,,1.0
175,,1.0,,1.0
176,,1.0,,1.0
177,,1.0,,1.0
178,,1.0,,1.0
179,,1.0,,1.0
180,,1.0,,1.0
181,,1.0,,1.0
182,,1.0,,1.0
183,,1.0,,1.0
184,,1.0,,1.0
185,,1.0,,1.0
186,,1.0,,1.0
187,,1.0,,1.0
188,,1.0,,1.0
189,,1.0,,1.0
190,,1.0,,1.0
191,,1.0,,1.0
192,,1.0,,1.0
193,,1.0,,1.0
194,,1.0,,1.0
195,,1.0,,1.0
196,,1.0,,1.0
197,,1.0,,1.0
198,,1.0,,1.0
199,,1.0,,1.0
